"Step","dashing-armadillo-96 - Training PPL","dashing-armadillo-96 - Training PPL__MIN","dashing-armadillo-96 - Training PPL__MAX"
"0","10211.373618177407","10211.373618177407","10211.373618177407"
"1","2216.519362780181","2216.519362780181","2216.519362780181"
"2","925.6761510416665","925.6761510416665","925.6761510416665"
"3","555.5153387228748","555.5153387228748","555.5153387228748"
"4","461.736337444179","461.736337444179","461.736337444179"
"5","378.00860999094965","378.00860999094965","378.00860999094965"
"6","288.1743375423643","288.1743375423643","288.1743375423643"
"7","321.22687702515316","321.22687702515316","321.22687702515316"
"8","241.4291560390188","241.4291560390188","241.4291560390188"
"9","256.86559975668365","256.86559975668365","256.86559975668365"
"11","178.66559613172893","178.66559613172893","178.66559613172893"
"12","203.20962291367243","203.20962291367243","203.20962291367243"
"13","144.11245456590422","144.11245456590422","144.11245456590422"
"14","158.6367523254004","158.6367523254004","158.6367523254004"
"15","168.5464018705116","168.5464018705116","168.5464018705116"
"17","129.77680837787304","129.77680837787304","129.77680837787304"
"18","118.73443067196351","118.73443067196351","118.73443067196351"
"19","117.39786637081338","117.39786637081338","117.39786637081338"
"20","99.82468417890551","99.82468417890551","99.82468417890551"
"21","100.35784384805962","100.35784384805962","100.35784384805962"
"22","84.05972974892438","84.05972974892438","84.05972974892438"
"23","69.56979902730293","69.56979902730293","69.56979902730293"
"24","86.75255771954869","86.75255771954869","86.75255771954869"
"25","71.78437677204289","71.78437677204289","71.78437677204289"
"26","87.70312561586967","87.70312561586967","87.70312561586967"
"28","62.6271820464725","62.6271820464725","62.6271820464725"
"29","65.10948342380837","65.10948342380837","65.10948342380837"
"30","55.42352585414481","55.42352585414481","55.42352585414481"
"31","66.89013966294205","66.89013966294205","66.89013966294205"
"32","72.41103076311389","72.41103076311389","72.41103076311389"
"34","56.871095251821","56.871095251821","56.871095251821"
"35","60.85945794583593","60.85945794583593","60.85945794583593"
"36","60.30237161698947","60.30237161698947","60.30237161698947"
"37","52.4004778441832","52.4004778441832","52.4004778441832"
"38","56.62704090756502","56.62704090756502","56.62704090756502"
"39","48.27742655268996","48.27742655268996","48.27742655268996"
"40","41.30343203745828","41.30343203745828","41.30343203745828"
"41","52.938595256822914","52.938595256822914","52.938595256822914"
"42","46.177650600742545","46.177650600742545","46.177650600742545"
"43","59.559372200942","59.559372200942","59.559372200942"
"45","44.09386628803778","44.09386628803778","44.09386628803778"
"46","44.31489278401493","44.31489278401493","44.31489278401493"
"47","40.27605608826197","40.27605608826197","40.27605608826197"
"48","49.200830403714285","49.200830403714285","49.200830403714285"
"49","54.28739267028705","54.28739267028705","54.28739267028705"
"51","42.89722687825122","42.89722687825122","42.89722687825122"
"52","48.24366733090887","48.24366733090887","48.24366733090887"
"53","47.92850615218441","47.92850615218441","47.92850615218441"
"54","42.11009686024076","42.11009686024076","42.11009686024076"
"55","46.781344196156205","46.781344196156205","46.781344196156205"
"56","40.27119748594569","40.27119748594569","40.27119748594569"
"57","34.67633489153225","34.67633489153225","34.67633489153225"
"58","44.7083022004446","44.7083022004446","44.7083022004446"
"59","39.92339945566632","39.92339945566632","39.92339945566632"
"60","52.362524616359316","52.362524616359316","52.362524616359316"
"62","39.13134316599456","39.13134316599456","39.13134316599456"
"63","39.26934739759105","39.26934739759105","39.26934739759105"
"64","35.61689794488165","35.61689794488165","35.61689794488165"
"65","43.56627792985624","43.56627792985624","43.56627792985624"
"66","49.45339836112718","49.45339836112718","49.45339836112718"
"68","38.99431665881688","38.99431665881688","38.99431665881688"
"69","44.963164670637184","44.963164670637184","44.963164670637184"
"70","44.504578415698575","44.504578415698575","44.504578415698575"
"71","39.2566351235961","39.2566351235961","39.2566351235961"
"72","43.50891710691988","43.50891710691988","43.50891710691988"
"73","37.97048360410295","37.97048360410295","37.97048360410295"
"74","33.178263606780526","33.178263606780526","33.178263606780526"
"75","42.99456996103008","42.99456996103008","42.99456996103008"
"76","38.596193511375816","38.596193511375816","38.596193511375816"
"77","50.43518799584201","50.43518799584201","50.43518799584201"
"79","37.847961018636425","37.847961018636425","37.847961018636425"
"80","37.815210297909864","37.815210297909864","37.815210297909864"
"81","34.808875535176156","34.808875535176156","34.808875535176156"
"82","42.599306288119664","42.599306288119664","42.599306288119664"
"83","48.562394461753556","48.562394461753556","48.562394461753556"
