model_id,direction,model_size,item,correct
1,1,1,0,0
1,1,1,1,1
1,1,1,2,1
1,1,1,3,0
1,1,1,4,1
1,1,1,5,1
1,1,1,6,1
1,1,1,7,1
1,1,1,8,1
1,1,1,9,0
1,1,1,10,1
1,1,1,11,1
1,1,1,12,1
1,1,1,13,1
1,1,1,14,1
1,1,1,15,1
1,1,1,16,1
1,1,1,17,0
1,1,1,18,0
1,1,1,19,1
1,1,1,20,1
1,1,1,21,1
1,1,1,22,1
1,1,1,23,0
1,1,1,24,0
1,1,1,25,1
1,1,1,26,0
1,1,1,27,1
1,1,1,28,1
1,1,1,29,1
1,1,1,30,0
1,1,1,31,0
1,1,1,32,0
1,1,1,33,1
1,1,1,34,0
1,1,1,35,1
1,1,1,36,1
1,1,1,37,1
1,1,1,38,0
1,1,1,39,1
1,1,1,40,0
1,1,1,41,0
1,1,1,42,0
1,1,1,43,1
1,1,1,44,1
1,1,1,45,1
1,1,1,46,1
1,1,1,47,0
1,1,1,48,1
1,1,1,49,1
1,1,1,50,1
1,1,1,51,1
1,1,1,52,1
1,1,1,53,0
1,1,1,54,1
1,1,1,55,1
1,1,1,56,1
1,1,1,57,0
1,1,1,58,1
1,1,1,59,1
1,1,1,60,1
1,1,1,61,0
1,1,1,62,1
1,1,1,63,0
1,1,1,64,0
1,1,1,65,1
1,1,1,66,1
1,1,1,67,0
1,1,1,68,0
1,1,1,69,1
1,1,1,70,1
1,1,1,71,1
1,1,1,72,0
1,1,1,73,1
1,1,1,74,0
1,1,1,75,1
1,1,1,76,0
1,1,1,77,0
1,1,1,78,1
1,1,1,79,0
1,1,1,80,1
1,1,1,81,1
1,1,1,82,1
1,1,1,83,1
1,1,1,84,1
1,1,1,85,0
1,1,1,86,1
1,1,1,87,1
1,1,1,88,0
1,1,1,89,1
1,1,1,90,0
1,1,1,91,1
1,1,1,92,1
1,1,1,93,1
1,1,1,94,0
1,1,1,95,1
1,1,1,96,1
1,1,1,97,1
1,1,1,98,1
1,1,1,99,0
1,1,1,100,1
1,1,1,101,1
1,1,1,102,0
1,1,1,103,1
1,1,1,104,0
1,1,1,105,1
1,1,1,106,1
1,1,1,107,0
1,1,1,108,1
1,1,1,109,0
1,1,1,110,1
1,1,1,111,1
1,1,1,112,1
1,1,1,113,0
1,1,1,114,0
1,1,1,115,1
1,1,1,116,1
1,1,1,117,1
1,1,1,118,0
1,1,1,119,1
1,1,1,120,1
1,1,1,121,1
1,1,1,122,1
1,1,1,123,0
1,1,1,124,1
1,1,1,125,0
1,1,1,126,0
1,1,1,127,1
1,1,1,128,1
1,1,1,129,1
1,1,1,130,1
1,1,1,131,1
1,1,1,132,0
1,1,1,133,0
1,1,1,134,1
1,1,1,135,1
1,1,1,136,0
1,1,1,137,1
1,1,1,138,0
1,1,1,139,0
1,1,1,140,1
1,1,1,141,1
1,1,1,142,1
1,1,1,143,1
1,1,1,144,1
1,1,1,145,0
1,1,1,146,1
1,1,1,147,1
1,1,1,148,0
1,1,1,149,0
1,1,1,150,1
1,1,1,151,1
1,1,1,152,1
1,1,1,153,1
1,1,1,154,1
1,1,1,155,0
1,1,1,156,0
1,1,1,157,1
1,1,1,158,1
1,1,1,159,0
1,1,1,160,1
1,1,1,161,0
1,1,1,162,0
1,1,1,163,0
1,1,1,164,1
1,1,1,165,0
1,1,1,166,1
1,1,1,167,1
1,1,1,168,0
1,1,1,169,0
1,1,1,170,1
1,1,1,171,1
1,1,1,172,1
1,1,1,173,1
1,1,1,174,1
1,1,1,175,1
1,1,1,176,0
1,1,1,177,1
1,1,1,178,0
1,1,1,179,0
1,1,1,180,0
1,1,1,181,0
1,1,1,182,1
1,1,1,183,1
1,1,1,184,0
1,1,1,185,0
1,1,1,186,1
1,1,1,187,0
1,1,1,188,1
1,1,1,189,0
1,1,1,190,1
1,1,1,191,0
1,1,1,192,0
1,1,1,193,1
1,1,1,194,1
1,1,1,195,0
1,1,1,196,1
1,1,1,197,1
1,1,1,198,0
1,1,1,199,0
2,0,1,0,0
2,0,1,1,1
2,0,1,2,1
2,0,1,3,1
2,0,1,4,0
2,0,1,5,1
2,0,1,6,0
2,0,1,7,1
2,0,1,8,0
2,0,1,9,0
2,0,1,10,1
2,0,1,11,1
2,0,1,12,1
2,0,1,13,1
2,0,1,14,1
2,0,1,15,0
2,0,1,16,1
2,0,1,17,1
2,0,1,18,0
2,0,1,19,1
2,0,1,20,1
2,0,1,21,1
2,0,1,22,0
2,0,1,23,0
2,0,1,24,0
2,0,1,25,1
2,0,1,26,0
2,0,1,27,1
2,0,1,28,1
2,0,1,29,1
2,0,1,30,0
2,0,1,31,1
2,0,1,32,1
2,0,1,33,1
2,0,1,34,0
2,0,1,35,1
2,0,1,36,1
2,0,1,37,1
2,0,1,38,0
2,0,1,39,1
2,0,1,40,0
2,0,1,41,0
2,0,1,42,0
2,0,1,43,1
2,0,1,44,1
2,0,1,45,1
2,0,1,46,1
2,0,1,47,0
2,0,1,48,1
2,0,1,49,1
2,0,1,50,1
2,0,1,51,0
2,0,1,52,1
2,0,1,53,0
2,0,1,54,1
2,0,1,55,1
2,0,1,56,1
2,0,1,57,0
2,0,1,58,1
2,0,1,59,1
2,0,1,60,1
2,0,1,61,0
2,0,1,62,0
2,0,1,63,1
2,0,1,64,0
2,0,1,65,1
2,0,1,66,1
2,0,1,67,0
2,0,1,68,0
2,0,1,69,1
2,0,1,70,1
2,0,1,71,1
2,0,1,72,0
2,0,1,73,1
2,0,1,74,0
2,0,1,75,1
2,0,1,76,1
2,0,1,77,0
2,0,1,78,1
2,0,1,79,1
2,0,1,80,1
2,0,1,81,1
2,0,1,82,1
2,0,1,83,1
2,0,1,84,1
2,0,1,85,1
2,0,1,86,1
2,0,1,87,1
2,0,1,88,0
2,0,1,89,1
2,0,1,90,0
2,0,1,91,1
2,0,1,92,1
2,0,1,93,1
2,0,1,94,0
2,0,1,95,1
2,0,1,96,1
2,0,1,97,1
2,0,1,98,1
2,0,1,99,0
2,0,1,100,1
2,0,1,101,1
2,0,1,102,1
2,0,1,103,1
2,0,1,104,0
2,0,1,105,1
2,0,1,106,1
2,0,1,107,0
2,0,1,108,1
2,0,1,109,0
2,0,1,110,1
